grid_size,F,q,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
10,5,15,72,70811,12,88,88.0,0.15555555555555556
10,5,15,73,43251,8,89,89.0,0.15
10,5,15,74,70805,8,77,77.0,0.18333333333333332
10,5,15,75,31701,10,82,82.0,0.18888888888888888
10,5,15,76,73800,10,77,77.0,0.2222222222222222
10,5,15,77,60167,4,94,94.0,0.07777777777777778
10,5,15,78,71961,4,97,97.0,0.05
10,5,15,79,41809,10,88,88.0,0.15555555555555556
10,5,15,80,51674,11,84,84.0,0.18888888888888888
10,5,15,81,63829,11,75,75.0,0.22777777777777777
10,5,15,82,72088,5,95,95.0,0.08888888888888889
10,5,15,83,35873,19,79,79.0,0.29444444444444445
10,5,15,84,78927,8,92,92.0,0.1111111111111111
10,5,15,85,55832,6,90,90.0,0.1111111111111111
10,5,15,86,36403,20,69,69.0,0.3111111111111111
10,5,15,87,43746,18,73,73.0,0.3055555555555556
10,5,15,88,70435,11,83,83.0,0.15555555555555556
10,5,15,89,91301,6,93,93.0,0.09444444444444444
10,5,15,90,49839,13,78,78.0,0.21666666666666667
10,5,15,91,57762,4,97,97.0,0.05
10,5,15,92,52508,6,91,91.0,0.08888888888888889
10,5,15,93,48290,13,67,67.0,0.2777777777777778
10,5,15,94,78217,18,62,62.0,0.32222222222222224
10,5,15,95,57794,5,96,96.0,0.06666666666666667
10,5,15,96,56982,7,89,89.0,0.15555555555555556
10,5,15,97,73092,10,89,89.0,0.17777777777777778
10,5,15,98,66363,4,97,97.0,0.05
10,5,15,99,31186,11,81,81.0,0.19444444444444445
15,5,15,0,199733,7,206,91.55555555555556,0.06666666666666667
15,5,15,1,229822,5,221,98.22222222222223,0.02857142857142857
15,5,15,2,261357,13,211,93.77777777777779,0.09047619047619047
15,5,15,3,467857,12,204,90.66666666666666,0.10476190476190476
15,5,15,4,335856,11,212,94.22222222222221,0.07142857142857142
15,5,15,5,319735,6,213,94.66666666666667,0.04285714285714286
15,5,15,6,319968,9,215,95.55555555555556,0.05714285714285714
15,5,15,7,356575,9,215,95.55555555555556,0.0761904761904762
15,5,15,8,362978,4,222,98.66666666666667,0.023809523809523808
15,5,15,9,215590,6,219,97.33333333333334,0.03333333333333333
15,5,15,10,387586,10,201,89.33333333333333,0.09047619047619047
15,5,15,11,205990,10,210,93.33333333333333,0.07857142857142857
15,5,15,12,276669,4,222,98.66666666666667,0.02857142857142857
15,5,15,13,268037,8,217,96.44444444444444,0.05238095238095238
15,5,15,14,184021,11,212,94.22222222222221,0.0761904761904762
15,5,15,15,190844,11,212,94.22222222222221,0.0761904761904762
15,5,15,16,376518,9,216,96.0,0.06666666666666667
15,5,15,17,363608,3,223,99.11111111111111,0.01904761904761905
15,5,15,18,238322,3,223,99.11111111111111,0.014285714285714285
15,5,15,19,264730,11,202,89.77777777777777,0.09047619047619047
15,5,15,20,281615,18,192,85.33333333333334,0.14047619047619048
15,5,15,21,252054,2,224,99.55555555555556,0.007142857142857143
15,5,15,22,376329,10,207,92.0,0.09285714285714286
15,5,15,23,415681,13,206,91.55555555555556,0.10714285714285714
15,5,15,24,323399,7,214,95.11111111111111,0.05476190476190476
15,5,15,25,224975,11,212,94.22222222222221,0.08571428571428572
15,5,15,26,359505,7,215,95.55555555555556,0.06190476190476191
15,5,15,27,394415,4,219,97.33333333333334,0.02857142857142857
15,5,15,28,197251,10,207,92.0,0.08571428571428572
15,5,15,29,339265,4,219,97.33333333333334,0.03571428571428571
15,5,15,30,286758,9,214,95.11111111111111,0.06190476190476191
15,5,15,31,231113,6,220,97.77777777777777,0.02857142857142857
15,5,15,32,457545,3,219,97.33333333333334,0.03571428571428571
15,5,15,33,430082,16,181,80.44444444444444,0.16428571428571428
15,5,15,34,378403,7,215,95.55555555555556,0.05714285714285714
15,5,15,35,410192,7,207,92.0,0.08333333333333333
15,5,15,36,287993,4,222,98.66666666666667,0.023809523809523808
15,5,15,37,495962,8,215,95.55555555555556,0.07380952380952381
15,5,15,38,329508,6,219,97.33333333333334,0.04285714285714286
15,5,15,39,284859,20,158,70.22222222222221,0.20952380952380953
15,5,15,40,249794,8,209,92.88888888888889,0.08095238095238096
15,5,15,41,365015,11,209,92.88888888888889,0.1
15,5,15,42,406546,4,222,98.66666666666667,0.02619047619047619
15,5,15,43,370699,6,219,97.33333333333334,0.0380952380952381
15,5,15,44,264712,8,213,94.66666666666667,0.0761904761904762
15,5,15,45,307236,8,218,96.88888888888889,0.05714285714285714
15,5,15,46,285774,3,223,99.11111111111111,0.016666666666666666
15,5,15,47,325814,14,194,86.22222222222223,0.1619047619047619
15,5,15,48,204419,8,207,92.0,0.0880952380952381
15,5,15,49,296412,10,199,88.44444444444444,0.10952380952380952
15,5,15,50,291343,3,220,97.77777777777777,0.030952380952380953
15,5,15,51,266567,5,212,94.22222222222221,0.05476190476190476
15,5,15,52,258510,9,214,95.11111111111111,0.06666666666666667
15,5,15,53,404132,7,212,94.22222222222221,0.06904761904761905
15,5,15,54,305134,6,217,96.44444444444444,0.04285714285714286
15,5,15,55,210656,9,202,89.77777777777777,0.10714285714285714
15,5,15,56,283719,10,187,83.11111111111111,0.1
15,5,15,57,501882,9,213,94.66666666666667,0.06904761904761905
15,5,15,58,465420,9,213,94.66666666666667,0.08333333333333333
15,5,15,59,172999,8,217,96.44444444444444,0.05476190476190476
15,5,15,60,455455,3,222,98.66666666666667,0.016666666666666666
15,5,15,61,211334,9,212,94.22222222222221,0.06666666666666667
15,5,15,62,286599,14,178,79.11111111111111,0.1261904761904762
15,5,15,63,335800,8,214,95.11111111111111,0.05952380952380952
15,5,15,64,419118,5,211,93.77777777777779,0.047619047619047616
15,5,15,65,373345,7,213,94.66666666666667,0.07857142857142857
15,5,15,66,359697,3,223,99.11111111111111,0.014285714285714285
15,5,15,67,348257,7,215,95.55555555555556,0.06666666666666667
15,5,15,68,212481,3,222,98.66666666666667,0.01904761904761905
15,5,15,69,189865,1,225,100.0,0.0
15,5,15,70,271583,8,217,96.44444444444444,0.05238095238095238
15,5,15,71,238424,6,216,96.0,0.04285714285714286
15,5,15,72,253458,9,161,71.55555555555554,0.1357142857142857
15,5,15,73,190978,10,212,94.22222222222221,0.08333333333333333
15,5,15,74,346449,2,221,98.22222222222223,0.02142857142857143
15,5,15,75,444659,4,216,96.0,0.030952380952380953
15,5,15,76,414487,3,222,98.66666666666667,0.02142857142857143
15,5,15,77,204389,1,225,100.0,0.0
15,5,15,78,395687,7,218,96.88888888888889,0.05476190476190476
15,5,15,79,445511,4,222,98.66666666666667,0.02619047619047619
