correlation,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
-0.25,10,14,20045,4,86,86.0,0.14444444444444443
-0.25,10,15,23311,3,97,97.0,0.044444444444444446
-0.25,10,16,40566,1,100,100.0,0.0
-0.25,10,17,30664,4,88,88.0,0.07777777777777778
-0.25,10,18,24575,3,98,98.0,0.03888888888888889
-0.25,10,19,35259,3,95,95.0,0.03888888888888889
-0.25,10,20,32532,2,98,98.0,0.03333333333333333
-0.25,10,21,14189,2,98,98.0,0.03333333333333333
-0.25,10,22,15990,6,91,91.0,0.09444444444444444
-0.25,10,23,10365,3,74,74.0,0.12222222222222222
-0.25,10,24,11106,5,94,94.0,0.08888888888888889
-0.25,10,25,49332,2,98,98.0,0.016666666666666666
-0.25,10,26,42177,1,100,100.0,0.0
-0.25,10,27,25690,3,97,97.0,0.05
-0.25,10,28,17938,1,100,100.0,0.0
-0.25,10,29,73525,1,100,100.0,0.0
-0.25,10,30,38544,4,97,97.0,0.06666666666666667
-0.25,10,31,58437,1,100,100.0,0.0
-0.25,10,32,17707,4,95,95.0,0.06111111111111111
-0.25,10,33,36237,3,97,97.0,0.044444444444444446
-0.25,10,34,74139,1,100,100.0,0.0
-0.25,10,35,16957,3,97,97.0,0.044444444444444446
-0.25,10,36,52091,1,100,100.0,0.0
-0.25,10,37,17817,3,98,98.0,0.03888888888888889
-0.25,10,38,26605,4,97,97.0,0.05
-0.25,10,39,18098,4,97,97.0,0.05
-0.25,10,40,58471,3,98,98.0,0.044444444444444446
-0.25,10,41,26900,3,96,96.0,0.06666666666666667
-0.25,10,42,32607,2,99,99.0,0.016666666666666666
-0.25,10,43,23298,1,100,100.0,0.0
-0.25,10,44,17772,4,97,97.0,0.05
-0.25,10,45,24741,2,97,97.0,0.027777777777777776
-0.25,10,46,28849,2,99,99.0,0.016666666666666666
-0.25,10,47,20214,4,97,97.0,0.06666666666666667
-0.25,10,48,72792,4,95,95.0,0.06666666666666667
-0.25,10,49,41969,3,98,98.0,0.027777777777777776
0,10,0,47086,1,100,100.0,0.0
0,10,1,54145,3,98,98.0,0.03888888888888889
0,10,2,30924,3,96,96.0,0.07777777777777778
0,10,3,41741,1,100,100.0,0.0
0,10,4,46045,8,88,88.0,0.12222222222222222
0,10,5,14434,1,100,100.0,0.0
0,10,6,62256,6,91,91.0,0.12222222222222222
0,10,7,18332,3,98,98.0,0.03333333333333333
0,10,8,22464,3,91,91.0,0.05555555555555555
0,10,9,31521,4,97,97.0,0.06111111111111111
0,10,10,15537,3,95,95.0,0.08333333333333333
0,10,11,25631,2,99,99.0,0.011111111111111112
0,10,12,41968,2,98,98.0,0.03333333333333333
0,10,13,28946,3,94,94.0,0.06111111111111111
0,10,14,20972,2,99,99.0,0.016666666666666666
0,10,15,32541,3,98,98.0,0.03888888888888889
0,10,16,15208,4,97,97.0,0.06666666666666667
0,10,17,37521,5,96,96.0,0.06666666666666667
0,10,18,22567,2,98,98.0,0.016666666666666666
0,10,19,14446,1,100,100.0,0.0
0,10,20,22340,2,99,99.0,0.022222222222222223
0,10,21,21167,2,98,98.0,0.016666666666666666
0,10,22,81177,2,99,99.0,0.022222222222222223
0,10,23,10170,2,98,98.0,0.027777777777777776
0,10,24,29748,3,97,97.0,0.044444444444444446
0,10,25,14923,2,99,99.0,0.016666666666666666
0,10,26,77583,3,98,98.0,0.044444444444444446
0,10,27,37560,2,99,99.0,0.022222222222222223
0,10,28,38132,4,96,96.0,0.07222222222222222
0,10,29,20699,2,99,99.0,0.011111111111111112
0,10,30,22403,5,91,91.0,0.08888888888888889
0,10,31,76218,5,94,94.0,0.08888888888888889
0,10,32,30798,2,99,99.0,0.016666666666666666
0,10,33,18929,6,91,91.0,0.08333333333333333
0,10,34,33026,1,100,100.0,0.0
0,10,35,43780,3,98,98.0,0.03888888888888889
0,10,36,81020,2,99,99.0,0.022222222222222223
0,10,37,55415,4,95,95.0,0.07777777777777778
0,10,38,29356,1,100,100.0,0.0
0,10,39,52577,2,99,99.0,0.022222222222222223
0,10,40,20194,3,97,97.0,0.06666666666666667
0,10,41,38488,3,98,98.0,0.03888888888888889
0,10,42,51823,1,100,100.0,0.0
0,10,43,32280,4,96,96.0,0.06666666666666667
0,10,44,19003,1,100,100.0,0.0
0,10,45,37903,2,99,99.0,0.022222222222222223
0,10,46,38601,1,100,100.0,0.0
0,10,47,40436,5,95,95.0,0.07222222222222222
0,10,48,25157,3,97,97.0,0.03333333333333333
0,10,49,31501,4,97,97.0,0.06111111111111111
0.25,10,0,38112,1,100,100.0,0.0
0.25,10,1,12247,5,94,94.0,0.1
0.25,10,2,42368,2,99,99.0,0.022222222222222223
0.25,10,3,29410,1,100,100.0,0.0
0.25,10,4,18639,1,100,100.0,0.0
0.25,10,5,15937,5,91,91.0,0.08333333333333333
0.25,10,6,14369,3,97,97.0,0.03888888888888889
0.25,10,7,77632,4,94,94.0,0.06666666666666667
0.25,10,8,11058,3,97,97.0,0.03333333333333333
0.25,10,9,60160,2,99,99.0,0.022222222222222223
0.25,10,10,22871,2,99,99.0,0.016666666666666666
0.25,10,11,28472,2,89,89.0,0.06111111111111111
0.25,10,12,28228,3,98,98.0,0.03888888888888889
0.25,10,13,35804,5,95,95.0,0.08333333333333333
0.25,10,14,30076,2,99,99.0,0.022222222222222223
0.25,10,15,34267,5,86,86.0,0.1388888888888889
0.25,10,16,24152,5,96,96.0,0.06666666666666667
0.25,10,17,54594,2,98,98.0,0.03333333333333333
0.25,10,18,16286,3,89,89.0,0.07222222222222222
