F,q,num_runs,steps_mean,steps_std,steps_min,steps_max,unique_cultures_mean,unique_cultures_std,unique_cultures_min,unique_cultures_max,largest_domain_mean,largest_domain_std,avg_distance_mean,avg_distance_std,prob_global_consensus
2,20,100,1425.03,998.7422135366063,418,6791,74.56,3.896973184408638,65,86,4.58,1.2424169992397882,0.8964444444444445,0.021766436956419343,0.0
3,2,100,28402.78,15614.957474537034,6913,89503,1.01,0.09949874371066199,1,2,99.95,0.4974937185533101,0.00044444444444444447,0.004422166387140535,0.99
3,3,100,36941.34,15576.194823653175,11179,80774,1.05,0.21794494717703372,1,2,99.65,1.8513508581573621,0.0018333333333333335,0.009130568654285302,0.95
3,4,100,36742.97,18315.99016130714,10651,104647,1.51,0.8999444427296609,1,6,94.71,11.409027127673946,0.022444444444444444,0.04427690644618755,0.66
3,5,100,39870.87,17373.60402717582,15855,113571,2.32,1.6424372134118248,1,9,91.62,12.682886106876463,0.0481111111111111,0.06374728268234431,0.42
3,6,100,40195.55,16502.522911588396,12257,84702,4.71,2.7615032138311912,1,13,78.66,19.778382138081973,0.12100000000000001,0.08833011873955118,0.07
3,7,100,37035.16,17127.168503707784,9350,88436,8.83,5.674601307581,1,28,69.39,23.374727805901824,0.2037222222222222,0.12700504267231885,0.01
3,8,100,36260.89,20287.660591549236,5034,105331,15.1,7.02780193232564,2,35,56.18,22.210979267020175,0.31605555555555553,0.12343813115169162,0.0
3,9,100,38880.67,27824.35779386651,5172,164406,20.31,9.056152604721278,5,45,48.51,22.02521055517972,0.3842777777777778,0.13362942817386472,0.0
3,10,100,29946.58,22490.773480776515,3517,144755,29.48,10.249370712390103,3,55,36.89,21.071732249627697,0.4933333333333333,0.13429514207589632,0.0
3,11,100,22779.96,18145.227350419176,3845,96680,38.49,8.744706970505073,11,56,25.66,15.107759595651501,0.5932777777777777,0.0958371013751981,0.0
3,12,100,17395.74,15839.146745718343,2341,91794,42.97,8.769783349661495,22,59,20.67,12.388748927958789,0.6371111111111112,0.08713860110461456,0.0
3,13,100,12830.72,8432.292863841958,2049,47308,49.4,8.0,24,68,16.13,9.250572955228234,0.6898333333333333,0.0698457515697675,0.0
3,14,100,10545.79,9954.354445462548,2142,59437,52.55,8.25030302473794,30,68,13.21,8.045240829210769,0.7145000000000001,0.06455878266938656,0.0
3,15,100,10042.88,10134.760871653558,1524,54647,57.17,8.400065475935293,38,81,12.2,7.029935988328769,0.7453888888888888,0.06387224420863036,0.0
3,16,100,8245.41,8461.87660639766,1212,57985,60.04,8.046017648501648,35,74,11.18,7.613645644499091,0.7642777777777777,0.06136439933848322,0.0
3,17,100,7258.58,9094.553384504376,1230,57757,63.48,7.491969033571881,31,78,9.33,7.238860407550349,0.7893333333333332,0.05402719936851195,0.0
3,18,100,6977.72,11222.133587763068,1298,107335,65.14,5.963254145179459,51,81,8.77,4.444895949288352,0.7988888888888889,0.04049843770801687,0.0
3,19,100,5707.12,4475.5585758204525,1311,27590,68.19,5.8714478623249295,52,80,8.23,3.594036727692137,0.8170555555555556,0.03854815010533203,0.0
3,20,100,5441.5,5659.762511802063,1231,38324,68.8,6.581793068761733,51,83,7.82,4.339078243129525,0.8212777777777778,0.04244135387235567,0.0
4,2,100,32424.6,13695.746019841343,9659,69728,1.0,0.0,1,1,100.0,0.0,0.0,0.0,1.0
4,3,100,37709.32,16207.892949967309,9820,119490,1.01,0.09949874371066199,1,2,99.98,0.198997487421324,0.0003333333333333333,0.0033166247903554003,0.99
4,4,100,41499.5,16685.798275479658,13166,97761,1.02,0.13999999999999999,1,2,99.95,0.40926763859362253,0.0004444444444444444,0.003208784239598589,0.98
4,5,100,45032.06,15503.00342760718,14738,92136,1.06,0.23748684174075835,1,2,99.8,1.0862780491200217,0.0014444444444444444,0.006066503864319422,0.94
4,6,100,44504.26,14086.023599738855,19731,81024,1.28,0.6013318551349164,1,5,99.24,2.5263412279421003,0.006277777777777776,0.014522332737826526,0.77
4,7,100,47765.59,15363.150768052106,19270,93640,1.72,0.8494704232638122,1,4,97.38,6.643462952406674,0.01977777777777778,0.028396661253928607,0.52
4,8,100,49401.96,16865.45374362635,21985,109516,2.36,1.4319217855734998,1,9,95.99,6.3047521759384,0.035222222222222224,0.0396918687446742,0.3
4,9,100,47427.41,12909.062918814052,17983,81305,3.78,2.625185707716694,1,16,91.89,11.099454941572581,0.06811111111111111,0.06539349082267522,0.12
4,10,100,49895.45,17491.38581895385,21521,117370,6.47,4.1169284667091315,1,22,83.11,16.8895796276876,0.1338888888888889,0.0985340074151252,0.02
4,11,100,47194.87,20327.927476580095,8652,107682,9.5,6.960603422117942,1,44,75.55,21.591838735966885,0.18616666666666667,0.12987528443153779,0.01
4,12,100,48350.47,22601.573408262975,7675,137847,14.67,9.309194379751665,2,47,66.15,25.067658446691826,0.27005555555555555,0.15560295904704874,0.0
