correlation,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
0.1,10,101,88902,1,100,100.0,0.0
0.1,10,102,36743,1,100,100.0,0.0
0.1,10,103,21551,1,100,100.0,0.0
0.1,10,104,64637,3,98,98.0,0.03333333333333333
0.1,10,105,73630,1,100,100.0,0.0
0.1,10,106,32177,1,100,100.0,0.0
0.1,10,107,81761,2,99,99.0,0.016666666666666666
0.1,10,108,23202,1,100,100.0,0.0
0.1,10,109,58418,1,100,100.0,0.0
0.1,10,110,76380,1,100,100.0,0.0
0.1,10,111,44031,1,100,100.0,0.0
0.1,10,112,44119,1,100,100.0,0.0
0.1,10,113,63522,1,100,100.0,0.0
0.1,10,114,75943,1,100,100.0,0.0
0.1,10,115,60582,1,100,100.0,0.0
0.1,10,116,23637,1,100,100.0,0.0
0.1,10,117,41951,1,100,100.0,0.0
0.1,10,118,52384,1,100,100.0,0.0
0.1,10,119,39488,1,100,100.0,0.0
0.1,10,120,22586,1,100,100.0,0.0
0.1,10,121,34059,1,100,100.0,0.0
0.1,10,122,20805,1,100,100.0,0.0
0.1,10,123,29464,1,100,100.0,0.0
0.1,10,124,45332,1,100,100.0,0.0
0.1,10,125,48085,1,100,100.0,0.0
0.1,10,126,46710,1,100,100.0,0.0
0.1,10,127,62322,1,100,100.0,0.0
0.1,10,128,24918,1,100,100.0,0.0
0.1,10,129,17007,1,100,100.0,0.0
0.1,10,130,20226,1,100,100.0,0.0
0.1,10,131,44974,1,100,100.0,0.0
0.1,10,132,69924,1,100,100.0,0.0
0.1,10,133,38165,1,100,100.0,0.0
0.1,10,134,29498,1,100,100.0,0.0
0.1,10,135,39991,1,100,100.0,0.0
0.1,10,136,34123,1,100,100.0,0.0
0.1,10,137,63745,1,100,100.0,0.0
0.1,10,138,29406,1,100,100.0,0.0
0.1,10,139,60158,1,100,100.0,0.0
0.1,10,140,32445,1,100,100.0,0.0
0.1,10,141,19074,1,100,100.0,0.0
0.1,10,142,54079,1,100,100.0,0.0
0.1,10,143,46385,1,100,100.0,0.0
0.1,10,144,18928,2,99,99.0,0.016666666666666666
0.1,10,145,52675,1,100,100.0,0.0
0.1,10,146,30637,1,100,100.0,0.0
0.1,10,147,39343,1,100,100.0,0.0
0.1,10,148,33325,1,100,100.0,0.0
0.1,10,149,20940,1,100,100.0,0.0
0.1,10,150,35003,1,100,100.0,0.0
0.1,10,151,31226,1,100,100.0,0.0
0.1,10,152,46661,2,99,99.0,0.022222222222222223
0.1,10,153,28884,1,100,100.0,0.0
0.1,10,154,59479,1,100,100.0,0.0
0.1,10,155,48326,1,100,100.0,0.0
0.1,10,156,42342,1,100,100.0,0.0
